CASE_NAME,INTEGRATION_D,INTEGRATION_R,INTEGRATION_G,JSC,JSC/INT_D,INT_R/INT_D,INT_D/INT_G,PASS TEST?
t1/40x40/test00660,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00670,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00680,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00690,4.62336204537e+27,1.0959696459499999e+27,6.17925775434e+27,7.78616,0.781157887688,0.237050361854,0.748206698789,y
t1/40x40/test00700,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00710,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00720,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00730,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00740,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00750,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00760,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00770,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00780,4.25600564036e+27,4.2252434029600005e+26,6.17461929876e+27,8.4359,0.919396042396,0.0992772040156,0.689274177792,y
t1/40x40/test00790,4.3190608055100004e+27,6.65154530148e+26,6.10777915385e+27,8.0955,0.869416265095,0.15400443754499998,0.707140958552,y
t1/40x40/test00800,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00810,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00820,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00830,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00840,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00850,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00860,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00870,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
t1/40x40/test00880,4.38568294301e+27,6.20838725538e+26,6.17902583156e+27,8.27068,0.874736780781,0.141560330179,0.709769316803,y
